date,location,location_name,age_group,value
2020-03-28,GM01,Baden-Württemberg State,A60-A79,1833
2020-03-28,GM01,Baden-Württemberg State,A80+,475
2020-03-28,GM01,Baden-Württemberg State,unbekannt,25
2020-03-28,GM02,Free State of Bavaria,A00-A04,111
2020-03-28,GM02,Free State of Bavaria,A05-A14,315
2020-03-28,GM02,Free State of Bavaria,A15-A34,2892
2020-03-28,GM02,Free State of Bavaria,A35-A59,5259
2020-03-28,GM02,Free State of Bavaria,A60-A79,1904
2020-03-28,GM02,Free State of Bavaria,A80+,617
2020-03-28,GM02,Free State of Bavaria,unbekannt,52
2020-03-28,GM03,Free Hanseatic City of Bremen,A00-A04,1
2020-03-28,GM03,Free Hanseatic City of Bremen,A05-A14,3
2020-03-28,GM03,Free Hanseatic City of Bremen,A15-A34,69
2020-03-28,GM03,Free Hanseatic City of Bremen,A35-A59,120
2020-03-28,GM03,Free Hanseatic City of Bremen,A60-A79,56
2020-03-28,GM03,Free Hanseatic City of Bremen,A80+,9
2020-03-28,GM03,Free Hanseatic City of Bremen,unbekannt,2
